City,Count of sentiment_comments,rating
Ahangama,2,2
Ahangama,3,5
Ambalangoda,1,5
Ampara,1,3
Anuradhapura,1,2
Anuradhapura,2,3
Anuradhapura,3,4
Anuradhapura,8,5
Arugam Bay,1,5
Beruwala,2,2
Beruwala,2,3
Beruwala,10,4
Beruwala,22,5
Colombo,1,1
Colombo,3,4
Colombo,5,5
Deniyaya,1,3
Deniyaya,9,4
Deniyaya,7,5
Ella,3,3
Ella,6,4
Ella,4,5
Embilipitiya,1,2
Embilipitiya,12,5
Galle,3,4
Galle,2,5
Habarana,1,1
Habarana,3,3
Habarana,14,4
Habarana,22,5
Haputale,1,4
Haputale,1,5
Hikkaduwa,2,4
Hikkaduwa,11,5
Jaffna,1,4
Jaffna,2,5
Kalametiya,12,5
Kalkudah,1,5
Kalutara,1,4
Kandy,1,2
Kandy,1,3
Kandy,5,4
Kandy,12,5
Katukitula,1,1
Katukitula,1,2
Katukitula,3,4
Katukitula,3,5
Koslanda,2,4
Koslanda,2,5
Negombo,1,3
Negombo,1,4
Nilaveli,1,3
Nilaveli,1,4
Nilaveli,1,5
Nuwara Eliya,1,1
Nuwara Eliya,3,2
Nuwara Eliya,8,3
Nuwara Eliya,22,4
Nuwara Eliya,17,5
Peradeniya,2,4
Peradeniya,10,5
Pinnawala,12,1
Pinnawala,5,2
Pinnawala,7,3
Pinnawala,4,4
Pinnawala,7,5
Polonnaruwa,1,3
Polonnaruwa,3,4
Polonnaruwa,2,5
Pussellawa,1,2
Pussellawa,1,3
Pussellawa,4,4
Pussellawa,3,5
Saliyapura,3,3
Saliyapura,7,4
Saliyapura,13,5
Sigiriya,1,2
Sigiriya,3,3
Sigiriya,5,4
Sigiriya,15,5
Tissamaharama,1,4
Tissamaharama,2,5
Unawatuna,1,1
Unawatuna,1,5
Weligatta,1,3
Weligatta,1,4
Weligatta,14,5
