InputID,Traveller_ID,Location,City,Province,Location_Type
10001,1,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
10002,2,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
10003,3,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
10004,4,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
10005,5,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
10006,6,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
10007,7,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
10008,8,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
10009,9,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
10010,10,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20010,11,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20011,12,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20012,13,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20013,14,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20014,15,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20015,16,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20016,17,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20017,18,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20018,19,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20019,20,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20020,21,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20021,22,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20022,23,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20023,24,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20024,25,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20025,26,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20026,27,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20027,28,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20028,29,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20029,30,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20030,31,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20031,32,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20032,33,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20033,34,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20034,35,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20035,36,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20036,37,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20037,38,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20038,39,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20039,40,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20040,41,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20041,42,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20042,43,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20043,44,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20044,45,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20045,46,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20046,47,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20047,48,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20048,49,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20049,50,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20050,51,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20051,52,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20052,53,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20053,54,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20054,55,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20055,56,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20056,57,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20057,58,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20058,59,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20059,60,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20060,61,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20061,62,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20062,63,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20063,64,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20064,65,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20065,66,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20066,67,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20067,68,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20068,69,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20069,70,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20070,71,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20071,72,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20072,73,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20073,74,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20074,75,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20075,76,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20076,77,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20077,78,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20078,79,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
20079,80,"Arugam Bay","Arugam Bay"," Eastern Province",Beaches
