InputID,Traveller_ID,Location_Name,Rating
10001,1,"Arugam Bay",5
10002,2,"Arugam Bay",4
10003,3,"Arugam Bay",5
10004,4,"Arugam Bay",5
10005,5,"Arugam Bay",5
10006,6,"Arugam Bay",5
10007,7,"Arugam Bay",5
10008,8,"Arugam Bay",5
10009,9,"Arugam Bay",5
10010,10,"Arugam Bay",1
20010,11,"Arugam Bay",5
20011,12,"Arugam Bay",4
20012,13,"Arugam Bay",2
20013,14,"Arugam Bay",1
20014,15,"Arugam Bay",5
20015,16,"Arugam Bay",5
20016,17,"Arugam Bay",5
20017,18,"Arugam Bay",4
20018,19,"Arugam Bay",4
20019,20,"Arugam Bay",3
20020,21,"Arugam Bay",4
20021,22,"Arugam Bay",4
20022,23,"Arugam Bay",4
20023,24,"Arugam Bay",5
20024,25,"Arugam Bay",5
20025,26,"Arugam Bay",4
20026,27,"Arugam Bay",5
20027,28,"Arugam Bay",5
20028,29,"Arugam Bay",5
20029,30,"Arugam Bay",4
20030,31,"Arugam Bay",2
20031,32,"Arugam Bay",3
20032,33,"Arugam Bay",1
20033,34,"Arugam Bay",5
20034,35,"Arugam Bay",5
20035,36,"Arugam Bay",2
20036,37,"Arugam Bay",4
20037,38,"Arugam Bay",4
20038,39,"Arugam Bay",5
20039,40,"Arugam Bay",5
20040,41,"Arugam Bay",4
20041,42,"Arugam Bay",5
20042,43,"Arugam Bay",3
20043,44,"Arugam Bay",4
20044,45,"Arugam Bay",4
20045,46,"Arugam Bay",3
20046,47,"Arugam Bay",5
20047,48,"Arugam Bay",5
20048,49,"Arugam Bay",5
20049,50,"Arugam Bay",4
20050,51,"Arugam Bay",2
20051,52,"Arugam Bay",5
20052,53,"Arugam Bay",5
20053,54,"Arugam Bay",5
20054,55,"Arugam Bay",4
20055,56,"Arugam Bay",5
20056,57,"Arugam Bay",5
20057,58,"Arugam Bay",4
20058,59,"Arugam Bay",4
20059,60,"Arugam Bay",5
20060,61,"Arugam Bay",5
20061,62,"Arugam Bay",4
20062,63,"Arugam Bay",5
