InputID,Traveller_ID,Traveller_Location
10001,1,"Dunsborough, Australia"
10002,2,"Bendigo, Australia"
10003,3,"Melbourne, Australia"
10004,4,"Ericeira, Portugal"
10005,5,"Pistoia, Italy"
10006,6,"Dubai, United Arab Emirates"
10007,7,"Bajawa, Indonesia"
10008,8,"Vancouver, Canada"
10009,9,"Wanaka, New Zealand"
10010,10,"London, United Kingdom"
20010,11,"London, United Kingdom"
20011,12,"Nagahama, Japan"
20012,13,"Pacific Coast Australia, Australia"
20013,14,Glasgow
20014,15,"Stuttgart, Germany"
20015,16,"Kyiv, Ukraine"
20016,17,"London, United Kingdom"
20017,18,"Coimbatore, India"
20018,19,"Reigate, United Kingdom"
20019,20,"Ho Chi Minh City, Vietnam"
20020,21,"Papatoetoe, New Zealand"
20021,22,"Miami, Florida"
20022,23,"Lancashire, United Kingdom"
20023,24,"Dublin, Ireland"
20024,25,"Greater Manchester, United Kingdom"
20025,26,"Yate, United Kingdom"
20026,27,"Melbourne, Australia"
20027,28,"Newbury, United Kingdom"
20028,29,Austria
20029,30,"Turin, Italy"
20030,31,"Shoalhaven, Australia"
20031,32,"London, United Kingdom"
20032,33,"London, United Kingdom"
20033,34,"Prague, Czech Republic"
20034,35,"Melbourne, Australia"
20035,36,"San Mateo, California"
20036,37,"Amsterdam, The Netherlands"
20037,38,"Yangon (Rangoon), Myanmar"
20038,39,"Burley, United Kingdom"
20039,40,"North Yorkshire, United Kingdom"
20040,41,"Heilbronn, Germany"
20041,42,"Port Coquitlam, Canada"
20042,43,"Prague, Czech Republic"
20043,44,"Dubai, United Arab Emirates"
20044,45,Lebanon
20045,46,Darwin
20046,47,"Northern Portugal, Portugal"
20047,48,"Perth, Australia"
20048,49,"London, United Kingdom"
20049,50,"Frankfurt, Germany"
20050,51,"Novo Mesto, Slovenia"
20051,52,"Whitstable, United Kingdom"
20052,53,"Doha, Qatar"
20053,54,"Middelburg, The Netherlands"
20054,55,"Dubai, United Arab Emirates"
20055,56,"Vadodara, India"
20056,57,"Cairns, Australia"
20057,58,"Sydney, Australia"
20058,59,"New York City, New York"
20059,60,"Corfu, Greece"
20060,61,"Blyth, United Kingdom"
20061,62,"Waterford, Ireland"
20062,63,"Berlin, Germany"
20063,64,"Seattle, Washington"
20064,65,"Tel Aviv, Israel"
20065,66,"Culburra Beach, Australia"
20066,67,"Laarne, Belgium"
20067,68,California
20068,69,Italy
20069,70,"The Netherlands"
20070,71,"Sydney, Australia"
20071,72,"Sydney, Australia"
20072,73,"Perth, Australia"
20073,74,"Cairns, Australia"
20074,75,"Paro, Bhutan"
20075,76,Mariefred
20076,77,"Gothenburg, Sweden"
20077,78,"Gold Coast, Australia"
20078,79,Melbourne
20079,80,"Whitstable, United Kingdom"
20080,81,"Praia, Cape Verde"
20081,82,"Paris, France"
20082,83,"Seal Beach, California"
20083,84,"County Westmeath, Ireland"
20084,85,"Graz, Austria"
20085,86,"Utrecht, The Netherlands"
20086,87,"The Netherlands"
20087,88,"Melbourne, Australia"
20088,89,"Phuket, Thailand"
20089,90,"Barcelona, Spain"
20090,91,"London, United Kingdom"
20091,92,"Luscherz, Switzerland"
20092,93,"Setubal, Portugal"
20093,94,"Rotterdam, The Netherlands"
20094,95,"Sydney, Australia"
20095,96,"Pune District, India"
20096,97,"Folkestone, United Kingdom"
20097,98,Negombo
20098,99,"Hong Kong, China"
20099,100,"Kerobokan, Indonesia"
30100,101,"Vienna, Austria"
30101,102,"Berlin, Germany"
30102,103,"Coffs Harbour, Australia"
30103,104,"London, United Kingdom"
30104,105,"St Albans"
30105,106,"Versailles, France"
30106,107,"Newcastle, Australia"
30107,108,"Bern, Switzerland"
30108,109,"Bristol, United Kingdom"
30109,110,"Hastings, United Kingdom"
30110,111,"Gurugram (Gurgaon), India"
30111,112,"Cheltenham, United Kingdom"
30112,113,"Dubai, United Arab Emirates"
30113,114,"Kyiv, Ukraine"
30114,115,"Edinburgh, United Kingdom"
30115,116,"Munich, Germany"
30116,117,"Canberra, Australia"
30117,118,"Carnforth, United Kingdom"
30118,119,"Portland, Oregon"
30119,120,"Sydney, Australia"
30120,121,Copacabana
30121,122,"Sydney, Australia"
30122,123,"Montpellier, France"
30123,124,"Dubai, United Arab Emirates"
30124,125,"Maroochydore, Australia"
30125,126,"West Sussex, United Kingdom"
30126,127,"Abu Dhabi, United Arab Emirates"
30127,128,"London, United Kingdom"
30128,129,Sydney
30129,130,"Greater Sydney, Australia"
30130,131,"Bangkok, Thailand"
30131,132,"Rome, Italy"
30132,133,"Bournemouth, United Kingdom"
30133,120,"Sydney, Australia"
30134,134,"Alesund, Norway"
30135,135,"Chamonix, France"
30136,136,"Surfers Paradise, Australia"
30137,137,"London, United Kingdom"
30138,138,Singapore
30139,139,"Gryon, Switzerland"
30140,140,"Hordle, United Kingdom"
30141,141,"London, England, United Kingdom"
30142,142,"Peregian Beach, Australia"
30143,143,"Brighton, United Kingdom"
30144,144,"County Dublin, Ireland"
30145,145,"Las Vegas, Nevada"
30146,146,"Prague, Czech Republic"
30147,147,"Norwich, Norfolk"
30148,148,Sydney
30149,149,"Singapore, Singapore"
30150,150,"Baltimore, Maryland"
30151,151,"Sydney, Australia"
30152,152,"Adelaide, Australia"
30153,153,Colombo
30154,154,"Letchworth Garden City, United Kingdom"
30155,155,"Atlanta, Georgia"
30156,156,Ulladulla
30157,157,"Coffs Harbour, Australia"
30158,158,"Perth, Australia"
30159,159,"Kuala Lumpur, Wilayah Persekutuan, Malaysia"
30160,160,"Newcastle, Australia"
30161,161,"Abu Dhabi, United Arab Emirates"
30162,162,"South Yorkshire, United Kingdom"
30163,163,"Gropada, Italy"
30164,164,"Prague, Czech Republic"
30165,165,"Dublin, Ireland"
30166,166,"Huissen, The Netherlands"
30167,167,Kalutara
30168,168,"Berlin, Germany"
30169,48,"Perth, Australia"
30170,169,"Kuwait City, Kuwait"
30171,170,"Phoenix, Arizona"
30172,171,"London, United Kingdom"
30173,172,"Modena, Italy"
30174,173,"Baarn, The Netherlands"
30175,174,"Sheffield, United Kingdom"
30176,175,London
30177,176,"Fort Collins, Colorado"
30178,177,"London, United Kingdom"
30179,178,"Gosselies, Belgium"
30180,179,"Gold Coast, Australia"
30181,180,"Delft, The Netherlands"
30182,181,"Mumbai, India"
30183,182,"South Africa"
30184,183,"Ontario, Canada"
30185,184,"Bundoora, Australia"
30186,185,"Prague, Czech Republic"
30187,186,"Harmondsworth, United Kingdom"
30188,187,"Gold Coast, Australia"
30189,188,"Manchester, United Kingdom"
30190,189,"United Kingdom"
30191,190,"Dubai, United Arab Emirates"
30192,191,"Noida, India"
30193,192,"Johannesburg, South Africa"
30194,193,"Melbourne, Australia"
30195,194,"Prague, Czech Republic"
30196,195,"New Delhi, India"
30197,196,"Kolkata (Calcutta), India"
30198,197,"Dnipro, Ukraine"
30199,198,"Kuwait City, Kuwait"
30200,199,"Bangalore District, India"
30201,200,Stockport
30202,201,"Birmingham, United Kingdom"
30203,202,"Beverley, United Kingdom"
30204,203,"Bangalore District, India"
