InputID,Traveller_ID,Helpful_Votes
10001,1,1
10002,2,0
10003,3,0
10004,4,0
10005,5,0
10006,6,4
10007,7,0
10008,8,0
10009,9,0
10010,10,9
20010,11,0
20011,12,0
20012,13,1
20013,14,8
20014,15,1
20015,16,0
20016,17,0
20017,18,1
20018,19,0
20019,20,0
20020,21,1
20021,22,3
20022,23,2
20023,24,1
20024,25,2
20025,26,0
20026,27,0
20027,28,0
20028,29,0
20029,30,0
20030,31,6
20031,32,6
20032,33,7
20033,34,0
20034,35,0
20035,36,4
20036,37,1
20037,38,2
20038,39,0
20039,40,4
20040,41,1
20041,42,2
20042,43,2
20043,44,0
20044,45,0
20045,46,0
20046,47,0
20047,48,0
20048,49,0
20049,50,3
20050,51,1
20051,52,0
20052,53,0
20053,54,2
20054,55,1
20055,56,0
20056,57,0
20057,58,2
20058,59,4
20059,60,0
20060,61,0
20061,62,0
20062,63,2
20063,64,3
20064,65,0
20065,66,1
20066,67,0
20067,68,0
20068,69,0
20069,70,2
20070,71,9
20071,72,0
20072,73,0
20073,74,0
20074,75,2
20075,76,1
20076,77,1
20077,78,0
20078,79,2
20079,80,1
20080,81,0
20081,82,0
20082,83,0
20083,84,0
20084,85,0
20085,86,0
20086,87,0
20087,88,1
20088,89,1
20089,90,2
20090,91,1
20091,92,0
20092,93,0
20093,94,1
20094,95,2
20095,96,0
20096,97,1
20097,98,1
20098,99,1
20099,100,1
30100,101,0
30101,102,1
30102,103,1
30103,104,2
30104,105,3
30105,106,7
30106,107,2
30107,108,2
30108,109,1
30109,110,2
30110,111,0
30111,112,4
30112,113,2
30113,114,2
30114,115,2
30115,116,1
30116,117,0
30117,118,3
30118,119,0
30119,120,6
30120,121,2
30121,122,7
30122,123,3
30123,124,2
30124,125,3
30125,126,4
30126,127,1
30127,128,4
30128,129,3
30129,130,4
30130,131,4
30131,132,2
30132,133,0
30133,120,7
30134,134,2
30135,135,2
30136,136,8
30137,137,3
30138,138,3
30139,139,3
30140,140,0
30141,141,12
30142,142,4
30143,143,4
30144,144,6
30145,145,2
30146,146,1
30147,147,3
30148,148,3
30149,149,3
30150,150,4
