InputID,Traveller_ID,Traveller_Country,Photography,location_Type,Travel_Year,Travel_month,month,rating,sentiment_comments
10001,1,Australia,"No photography",Beaches,2019,7,July,5,Positive
10002,2,Australia,"No photography",Beaches,2019,6,June,4,Positive
10003,3,Australia,"No photography",Beaches,2019,7,July,5,Positive
50148,3,Australia,"No photography","National Parks",2018,7,July,5,Positive
10004,4,Portugal,"No photography",Beaches,2019,6,June,5,Positive
10005,5,Italy,"No photography",Beaches,2019,7,July,5,Positive
10007,7,Indonesia,"No photography",Beaches,2018,7,July,5,Positive
10008,8,Canada,"No photography",Beaches,2019,5,May,5,Positive
10009,9,"New Zealand","No photography",Beaches,2019,4,April,5,Positive
30813,9,"New Zealand","No photography",Beaches,2019,6,June,3,Positive
10010,10,"United Kingdom","No photography",Beaches,2018,9,September,1,Positive
20010,11,"United Kingdom","No photography",Beaches,2019,4,April,5,Positive
20011,12,Japan,"No photography",Beaches,2019,1,January,4,Positive
20012,13,Australia,"No photography",Beaches,2019,4,April,2,Negative
41349,13,Australia,"No photography",Beaches,2019,1,January,3,Negative
46202,13,Australia,"No photography","Historic Sites",2023,1,January,5,Positive
20013,14,"United Kingdom","No photography",Beaches,2019,2,February,1,Positive
20014,15,Germany,"No photography",Beaches,2019,1,January,5,Positive
20015,16,Ukraine,"No photography",Beaches,2018,5,May,5,Positive
20016,17,"United Kingdom","No photography",Beaches,2018,7,July,5,Positive
20017,18,India,"No photography",Beaches,2018,10,October,4,Positive
20018,19,"United Kingdom","No photography",Beaches,2018,2,February,4,Positive
48189,19,"United Kingdom","No photography",Museums,2018,9,September,3,Positive
48840,19,"United Kingdom","No photography",Museums,2017,10,October,3,Positive
45893,19,"United Kingdom","No photography",Gardens,2018,3,March,4,Positive
20019,20,Vietnam,"No photography",Beaches,2018,10,October,3,Negative
20020,21,"New Zealand","No photography",Beaches,2018,8,August,4,Positive
45228,21,"New Zealand","No photography",Gardens,2018,9,September,4,Positive
20021,22,"United States","No photography",Beaches,2018,8,August,4,Positive
20022,23,"United Kingdom","No photography",Beaches,2018,9,September,4,Positive
20023,24,Ireland,"No photography",Beaches,2018,7,July,5,Positive
20024,25,"United Kingdom","No photography",Beaches,2018,8,August,5,Positive
20025,26,"United Kingdom","No photography",Beaches,2018,8,August,4,Positive
43956,26,"United Kingdom","No photography",Farms,2013,12,December,3,Positive
20026,27,Australia,"No photography",Beaches,2017,8,August,5,Positive
20027,28,"United Kingdom","No photography",Beaches,2018,7,July,5,Positive
20028,29,Austria,"No photography",Beaches,2018,7,July,5,Positive
20029,30,Italy,"No photography",Beaches,2018,7,July,4,Positive
20030,31,Australia,"No photography",Beaches,2018,7,July,2,Positive
45177,31,Australia,"No photography",Gardens,2018,8,August,2,Neutral
20031,32,"United Kingdom","No photography",Beaches,2018,7,July,3,Positive
20032,33,"United Kingdom","No photography",Beaches,2018,7,July,1,Negative
20033,34,"Czech Republic","No photography",Beaches,2018,7,July,5,Positive
20034,35,Australia,"No photography",Beaches,2018,7,July,5,Positive
20035,36,"United States","No photography",Beaches,2018,7,July,2,Negative
20036,37,Netherlands,"No photography",Beaches,2018,6,June,4,Positive
20038,39,"United Kingdom","No photography",Beaches,2018,6,June,5,Positive
20039,40,"United Kingdom","No photography",Beaches,2017,9,September,5,Positive
20040,41,Germany,"No photography",Beaches,2017,9,September,4,Positive
20041,42,Canada,"No photography",Beaches,2017,8,August,5,Positive
20042,43,"Czech Republic","No photography",Beaches,2017,8,August,3,Negative
20043,44,"United Arab Emirates","No photography",Beaches,2017,8,August,4,Positive
46204,44,"United Arab Emirates","No photography","Historic Sites",2022,12,December,4,Positive
20044,45,Lebanon,"No photography",Beaches,2017,8,August,4,Positive
20045,46,Australia,"No photography",Beaches,2017,8,August,3,Positive
20046,47,Portugal,"No photography",Beaches,2017,6,June,5,Positive
20047,48,Australia,"No photography",Beaches,2016,9,September,5,Positive
30169,48,Australia,"No photography",Beaches,2017,2,February,3,Positive
20048,49,"United Kingdom","No photography",Beaches,2017,8,August,5,Positive
43816,49,India,"No photography",Farms,2016,8,August,2,Negative
20049,50,Germany,"No photography",Beaches,2017,7,July,4,Positive
20050,51,Slovenia,"No photography",Beaches,2017,8,August,2,Positive
20051,52,"United Kingdom","No photography",Beaches,2017,8,August,5,Positive
20052,53,Qatar,"No photography",Beaches,2018,6,June,5,Positive
20053,54,Netherlands,"No photography",Beaches,2018,6,June,5,Positive
20054,55,"United Arab Emirates","No photography",Beaches,2018,6,June,4,Positive
30780,55,"United Arab Emirates","No photography",Beaches,2018,12,December,2,Positive
20055,56,India,"No photography",Beaches,2018,6,June,5,Positive
20056,57,Australia,"No photography",Beaches,2018,6,June,5,Positive
20057,58,Australia,"No photography",Beaches,2018,5,May,4,Positive
20058,59,"United States","No photography",Beaches,2018,4,April,4,Positive
20059,60,Greece,"No photography",Beaches,2018,4,April,5,Positive
20060,61,"United Kingdom","No photography",Beaches,2022,5,May,5,Positive
20061,62,Ireland,"No photography",Beaches,2022,3,March,4,Positive
44141,62,"United Kingdom","No photography",Farms,2017,3,March,5,Positive
44961,62,"United Kingdom","No photography",Gardens,2015,11,November,1,Positive
51651,62,"United Kingdom","No photography","Nature & Wildlife Areas",2014,2,February,5,Positive
49297,62,"United Kingdom","No photography","National Parks",2018,3,March,5,Positive
50010,62,Australia,"No photography","National Parks",2019,1,January,3,Neutral
53405,63,Germany,"No photography","Religious Sites",2020,1,January,5,Positive
20062,63,Germany,"No photography",Beaches,2020,10,October,5,Positive
53810,63,Germany,"No photography","Religious Sites",2021,4,April,4,Neutral
47609,64,"United States","No photography","Historic Sites",2019,9,September,4,Positive
20063,64,"United States","No photography",Beaches,2019,10,October,5,Negative
41647,64,"United States","No photography",Beaches,2019,11,November,3,Neutral
20064,65,Israel,"No photography",Beaches,2019,10,October,5,Positive
20065,66,Australia,"No photography",Beaches,2019,10,October,5,Positive
20066,67,Belgium,"No photography",Beaches,2019,10,October,3,Positive
41652,67,Belgium,"No photography",Beaches,2019,9,September,2,Positive
20067,68,"United States","No photography",Beaches,2019,7,July,5,Positive
20068,69,Italy,"No photography",Beaches,2019,7,July,5,Positive
42068,69,"United Kingdom","No photography",Beaches,2016,11,November,5,Positive
20069,70,Netherlands,"No photography",Beaches,2017,6,June,4,Positive
20070,71,Australia,"No photography",Beaches,2017,6,June,5,Positive
20071,72,Australia,"No photography",Beaches,2017,6,June,3,Positive
20072,73,Australia,"No photography",Beaches,2017,6,June,4,Positive
20073,74,Australia,"No photography",Beaches,2017,5,May,3,Positive
20074,75,Bhutan,"No photography",Beaches,2017,5,May,4,Positive
20075,76,Sweden,"No photography",Beaches,2017,4,April,5,Positive
20076,77,Sweden,"No photography",Beaches,2017,4,April,5,Positive
20077,78,Australia,"No photography",Beaches,2016,8,August,4,Positive
20078,79,Australia,"No photography",Beaches,2017,4,April,5,Positive
20079,80,"United Kingdom","No photography",Beaches,2017,8,August,5,Positive
20080,81,"Cape Verde","No photography",Beaches,2017,8,August,5,Positive
20081,82,France,"No photography",Beaches,2017,8,August,5,Positive
20082,83,"United States","No photography",Beaches,2017,6,June,4,Positive
20083,84,Ireland,"No photography",Beaches,2017,7,July,2,Positive
20084,85,Austria,"No photography",Beaches,2017,7,July,5,Positive
20085,86,Netherlands,"No photography",Beaches,2017,7,July,5,Positive
20086,87,Netherlands,"No photography",Beaches,2017,7,July,4,Positive
20087,88,Australia,"No photography",Beaches,2017,7,July,5,Positive
20088,89,Thailand,"No photography",Beaches,2017,6,June,5,Positive
42305,89,Portugal,"No photography","Bodies of Water",2022,10,October,1,Negative
20089,90,Spain,"No photography",Beaches,2017,1,January,5,Positive
20090,91,"United Kingdom","No photography",Beaches,2017,2,February,4,Positive
20091,92,Switzerland,"No photography",Beaches,2017,2,February,3,Positive
20092,93,Portugal,"No photography",Beaches,2017,1,January,5,Positive
20093,94,Netherlands,"No photography",Beaches,2016,8,August,5,Positive
20094,95,Australia,"No photography",Beaches,2017,1,January,1,Negative
20095,96,India,"No photography",Beaches,2016,11,November,5,Positive
