InputID,Traveller_ID,activity,Traveller_Country,City,location_Type,rating,sentiment_comments,Travel_Year,Travel_month,month
10006,6,Wildlife_photography,"United Arab Emirates","Arugam Bay",Beaches,5,positive,2019,6,June
49905,69,Wildlife_photography,Australia,Habarana,"National Parks",5,positive,2019,3,March
45306,99,Wildlife_photography,China,"Nuwara Eliya",Gardens,5,positive,2016,2,February
49520,227,Wildlife_photography,"United Kingdom","Nuwara Eliya","National Parks",4,positive,2020,1,January
52647,275,Wildlife_photography,"United Kingdom",Ella,Waterfalls,4,positive,2019,3,March
43644,392,Wildlife_photography,India,"Nuwara Eliya",Farms,5,positive,2019,3,March
47572,432,Wildlife_photography,Greece,Sigiriya,"Historic Sites",5,positive,2019,12,December
45634,451,Wildlife_photography,Australia,Peradeniya,Gardens,5,positive,2019,10,October
47683,451,Wildlife_photography,Australia,Sigiriya,"Historic Sites",5,negative,2019,10,October
52717,485,Wildlife_photography,Australia,Ella,Waterfalls,4,positive,2019,2,February
42553,511,Wildlife_photography,Australia,Kandy,"Bodies of Water",5,positive,2018,9,September
48509,598,Wildlife_photography,"United Kingdom",Hikkaduwa,Museums,5,negative,2018,3,March
49608,626,Wildlife_photography,"United States","Nuwara Eliya","National Parks",3,positive,2018,12,December
54338,626,Wildlife_photography,"United States",Anuradhapura,"Religious Sites",5,positive,2018,12,December
45625,645,Wildlife_photography,Spain,Peradeniya,Gardens,5,positive,2021,11,November
51481,700,Wildlife_photography,"United Kingdom",Kandy,"Nature & Wildlife Areas",4,positive,2019,2,February
30751,734,Wildlife_photography,Australia,Unawatuna,Beaches,5,positive,2019,10,October
30805,785,Wildlife_photography,Australia,Unawatuna,Beaches,1,negative,2019,9,September
30823,801,Wildlife_photography,Spain,Kalutara,Beaches,4,positive,2020,2,February
55021,808,Wildlife_photography,Australia,Colombo,"Religious Sites",5,positive,2019,3,March
50620,824,Wildlife_photography,"United Kingdom",Sigiriya,"Nature & Wildlife Areas",5,positive,2018,9,September
44923,863,Wildlife_photography,"United Kingdom",Beruwala,Gardens,4,positive,2017,10,October
49410,1057,Wildlife_photography,"United Kingdom",Weligatta,"National Parks",5,positive,2017,2,February
54064,1076,Wildlife_photography,Netherlands,Anuradhapura,"Religious Sites",4,positive,2016,9,September
52585,1155,Wildlife_photography,Malaysia,Ella,Waterfalls,3,negative,2020,2,February
52067,1156,Wildlife_photography,India,Koslanda,Waterfalls,5,positive,2023,4,April
52572,1157,Wildlife_photography,Spain,Ella,Waterfalls,5,positive,2023,3,March
50797,1237,Wildlife_photography,Australia,Pinnawala,"Nature & Wildlife Areas",3,positive,2020,2,February
54788,1351,Wildlife_photography,India,Colombo,"Religious Sites",5,positive,2020,2,February
55078,1353,Wildlife_photography,India,Kandy,"Religious Sites",5,positive,2020,2,February
52724,1426,Wildlife_photography,India,Ella,Waterfalls,5,positive,2018,12,December
42374,1516,Wildlife_photography,Canada,Kandy,"Bodies of Water",5,positive,2020,2,February
41630,1542,Wildlife_photography,Australia,Negombo,Beaches,4,positive,2019,2,February
50385,1557,Wildlife_photography,Australia,Embilipitiya,"National Parks",2,negative,2019,11,November
42858,1637,Wildlife_photography,"United States",Anuradhapura,"Bodies of Water",5,positive,2019,2,February
42256,1660,Wildlife_photography,Singapore,"Nuwara Eliya","Bodies of Water",5,positive,2018,3,March
41766,1665,Wildlife_photography,"United States",Negombo,Beaches,3,positive,2018,7,July
51045,1719,Wildlife_photography,Canada,Pinnawala,"Nature & Wildlife Areas",4,negative,2018,7,July
51403,1725,Wildlife_photography,"New Zealand",Deniyaya,"Nature & Wildlife Areas",5,positive,2018,4,April
49810,1765,Wildlife_photography,"United Kingdom",Habarana,"National Parks",4,positive,2018,1,January
52641,1856,Wildlife_photography,"United Kingdom",Ella,Waterfalls,4,positive,2019,3,March
47085,1917,Wildlife_photography,"United Kingdom",Polonnaruwa,"Historic Sites",5,positive,2018,12,December
42058,1923,Wildlife_photography,Mauritius,Kalkudah,Beaches,5,positive,2017,3,March
46016,1982,Wildlife_photography,India,"Nuwara Eliya",Gardens,4,positive,2019,12,December
45133,2004,Wildlife_photography,Jordan,"Nuwara Eliya",Gardens,4,positive,2019,9,September
52372,2029,Wildlife_photography,"United Arab Emirates",Pussellawa,Waterfalls,5,positive,2019,12,December
47441,2047,Wildlife_photography,China,Sigiriya,"Historic Sites",5,positive,2021,10,October
49922,2051,Wildlife_photography,"United Kingdom",Habarana,"National Parks",5,positive,2019,3,March
49482,2056,Wildlife_photography,Thailand,"Nuwara Eliya","National Parks",5,positive,2019,7,July
45154,2171,Wildlife_photography,Australia,"Nuwara Eliya",Gardens,4,positive,2019,1,January
49600,2172,Wildlife_photography,China,"Nuwara Eliya","National Parks",4,positive,2018,12,December
55106,2181,Wildlife_photography,"United Kingdom",Kandy,"Religious Sites",2,positive,2020,3,March
42384,2193,Wildlife_photography,"United Kingdom",Kandy,"Bodies of Water",5,negative,2022,2,February
50580,2218,Wildlife_photography,Australia,Sigiriya,"Nature & Wildlife Areas",5,positive,2019,3,March
48953,2230,Wildlife_photography,Singapore,Sigiriya,Museums,3,positive,2019,3,March
52117,2232,Wildlife_photography,Switzerland,Koslanda,Waterfalls,4,positive,2016,9,September
43697,2275,Wildlife_photography,Switzerland,Katukitula,Farms,4,positive,2019,1,January
42537,2296,Wildlife_photography,Australia,Kandy,"Bodies of Water",4,positive,2018,7,July
55199,2321,Wildlife_photography,India,Kandy,"Religious Sites",5,positive,2019,12,December
49899,2334,Wildlife_photography,Australia,Habarana,"National Parks",4,positive,2019,2,February
50705,2423,Wildlife_photography,"United Kingdom",Sigiriya,"Nature & Wildlife Areas",5,positive,2017,5,May
42718,2426,Wildlife_photography,Vietnam,Tissamaharama,"Bodies of Water",5,positive,2016,4,April
42740,2442,Wildlife_photography,"United Kingdom",Tissamaharama,"Bodies of Water",4,positive,2019,3,March
51256,2442,Wildlife_photography,"United Kingdom",Deniyaya,"Nature & Wildlife Areas",5,positive,2019,3,March
42743,2444,Wildlife_photography,Australia,Tissamaharama,"Bodies of Water",5,positive,2016,10,October
44860,2463,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2018,4,April
48876,2487,Wildlife_photography,"United Kingdom",Sigiriya,Museums,2,neutral,2017,1,January
42821,2507,Wildlife_photography,India,Anuradhapura,"Bodies of Water",3,positive,2015,1,January
53374,2523,Wildlife_photography,India,Anuradhapura,"Religious Sites",5,positive,2013,11,November
42893,2560,Wildlife_photography,Turkiye,Anuradhapura,"Bodies of Water",4,positive,2016,1,January
42910,2574,Wildlife_photography,Australia,Anuradhapura,"Bodies of Water",5,neutral,2015,6,June
51351,2583,Wildlife_photography,"United Kingdom",Deniyaya,"Nature & Wildlife Areas",4,positive,2016,8,August
53307,2609,Wildlife_photography,Thailand,Anuradhapura,"Religious Sites",2,positive,2012,4,April
46053,2624,Wildlife_photography,Sweden,"Nuwara Eliya",Gardens,2,positive,2018,1,January
42983,2630,Wildlife_photography,"United Arab Emirates","Nuwara Eliya",Farms,4,positive,2018,1,January
45238,2689,Wildlife_photography,India,"Nuwara Eliya",Gardens,1,neutral,2016,10,October
43059,2695,Wildlife_photography,Oman,"Nuwara Eliya",Farms,3,positive,2016,3,March
52667,2730,Wildlife_photography,"United Kingdom",Ella,Waterfalls,4,positive,2018,5,May
50487,2734,Wildlife_photography,Singapore,Kalametiya,"Nature & Wildlife Areas",5,positive,2018,12,December
45190,2790,Wildlife_photography,"United Kingdom","Nuwara Eliya",Gardens,4,positive,2018,3,March
43193,2791,Wildlife_photography,"United Kingdom","Nuwara Eliya",Farms,5,positive,2018,3,March
51092,2809,Wildlife_photography,India,Pinnawala,"Nature & Wildlife Areas",5,positive,2018,5,May
43219,2811,Wildlife_photography,"United Kingdom","Nuwara Eliya",Farms,4,positive,2018,4,April
50036,2811,Wildlife_photography,"United Kingdom",Habarana,"National Parks",4,positive,2018,4,April
51095,2811,Wildlife_photography,"United Kingdom",Pinnawala,"Nature & Wildlife Areas",5,positive,2018,4,April
43285,2863,Wildlife_photography,"United Kingdom","Nuwara Eliya",Farms,4,positive,2017,4,April
43299,2876,Wildlife_photography,Singapore,"Nuwara Eliya",Farms,4,positive,2017,3,March
45209,2941,Wildlife_photography,India,"Nuwara Eliya",Gardens,5,positive,2017,12,December
52420,2953,Wildlife_photography,Philippines,Pussellawa,Waterfalls,4,positive,2017,9,September
44904,3055,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2016,2,February
43536,3090,Wildlife_photography,"United Kingdom",Haputale,Farms,4,positive,2015,1,January
50270,3104,Wildlife_photography,"United Kingdom",Nilaveli,"National Parks",5,positive,2017,4,April
47442,3122,Wildlife_photography,"United Kingdom",Sigiriya,"Historic Sites",5,positive,2023,4,April
55578,3130,Wildlife_photography,Oman,Habarana,"Religious Sites",4,positive,2022,2,February
49631,3176,Wildlife_photography,"United Kingdom",Habarana,"National Parks",5,positive,2019,8,August
49475,3182,Wildlife_photography,Australia,"Nuwara Eliya","National Parks",5,positive,2019,7,July
51693,3182,Wildlife_photography,Australia,Saliyapura,"Nature & Wildlife Areas",5,neutral,2019,7,July
52192,3199,Wildlife_photography,Australia,"Nuwara Eliya",Waterfalls,3,positive,2019,7,July
45780,3206,Wildlife_photography,India,Peradeniya,Gardens,4,negative,2019,1,January
43696,3207,Wildlife_photography,"United Kingdom",Katukitula,Farms,5,positive,2019,1,January
50941,3214,Wildlife_photography,"United Kingdom",Pinnawala,"Nature & Wildlife Areas",2,positive,2018,11,November
45292,3258,Wildlife_photography,"United Arab Emirates","Nuwara Eliya",Gardens,4,positive,2016,12,December
49801,3277,Wildlife_photography,Singapore,Habarana,"National Parks",5,positive,2018,2,February
43785,3285,Wildlife_photography,Australia,Katukitula,Farms,1,negative,2018,1,January
45044,3305,Wildlife_photography,Ireland,Beruwala,Gardens,5,positive,2016,9,September
52494,3315,Wildlife_photography,"United Kingdom",Pussellawa,Waterfalls,4,positive,2016,8,August
43821,3317,Wildlife_photography,Indonesia,Katukitula,Farms,4,positive,2016,7,July
43828,3324,Wildlife_photography,Australia,Katukitula,Farms,5,positive,2016,12,December
43833,3328,Wildlife_photography,"United Kingdom",Katukitula,Farms,4,positive,2016,11,November
43837,3331,Wildlife_photography,"United Kingdom",Katukitula,Farms,5,positive,2016,9,September
51345,3331,Wildlife_photography,"United Kingdom",Deniyaya,"Nature & Wildlife Areas",5,positive,2016,9,September
52924,3365,Wildlife_photography,Australia,"Nuwara Eliya",Waterfalls,5,positive,2015,9,September
49018,3380,Wildlife_photography,Ireland,Sigiriya,Museums,4,positive,2015,2,February
43957,3442,Wildlife_photography,"United Kingdom",Katukitula,Farms,2,positive,2013,12,December
51275,3512,Wildlife_photography,Australia,Deniyaya,"Nature & Wildlife Areas",3,positive,2018,12,December
48499,3563,Wildlife_photography,"United Kingdom",Hikkaduwa,Museums,5,positive,2018,1,January
44167,3629,Wildlife_photography,Canada,Ella,Farms,3,negative,2017,8,August
44229,3689,Wildlife_photography,"United Kingdom",Ahangama,Farms,2,negative,2020,1,January
50724,3829,Wildlife_photography,"United Kingdom",Sigiriya,"Nature & Wildlife Areas",5,positive,2016,12,December
44411,3850,Wildlife_photography,"United Kingdom",Ahangama,Farms,5,positive,2017,4,April
