InputID,Traveller_ID,Photography,Travel_Year,Travel_month,month,rating
10001,1,"No photography",2019,7,July,5
10002,2,"No photography",2019,6,June,4
10003,3,"No photography",2019,7,July,5
10004,4,"No photography",2019,6,June,5
10005,5,"No photography",2019,7,July,5
10006,6,photography,2019,6,June,5
10007,7,"No photography",2018,7,July,5
10008,8,"No photography",2019,5,May,5
10009,9,"No photography",2019,4,April,5
10010,10,"No photography",2018,9,September,1
20010,11,"No photography",2019,4,April,5
20011,12,"No photography",2019,1,January,4
20012,13,"No photography",2019,4,April,2
20013,14,"No photography",2019,2,February,1
20014,15,"No photography",2019,1,January,5
20015,16,"No photography",2018,5,May,5
20016,17,"No photography",2018,7,July,5
20017,18,"No photography",2018,10,October,4
20018,19,"No photography",2018,2,February,4
20019,20,"No photography",2018,10,October,3
20020,21,"No photography",2018,8,August,4
20021,22,"No photography",2018,8,August,4
20022,23,"No photography",2018,9,September,4
20023,24,"No photography",2018,7,July,5
20024,25,"No photography",2018,8,August,5
20025,26,"No photography",2018,8,August,4
20026,27,"No photography",2017,8,August,5
20027,28,"No photography",2018,7,July,5
20028,29,"No photography",2018,7,July,5
20029,30,"No photography",2018,7,July,4
20030,31,"No photography",2018,7,July,2
20031,32,"No photography",2018,7,July,3
20032,33,"No photography",2018,7,July,1
20033,34,"No photography",2018,7,July,5
20034,35,"No photography",2018,7,July,5
20035,36,"No photography",2018,7,July,2
20036,37,"No photography",2018,6,June,4
20037,38,"No photography",2018,7,July,4
20038,39,"No photography",2018,6,June,5
20039,40,"No photography",2017,9,September,5
20040,41,"No photography",2017,9,September,4
20041,42,"No photography",2017,8,August,5
20042,43,"No photography",2017,8,August,3
20043,44,"No photography",2017,8,August,4
20044,45,"No photography",2017,8,August,4
20045,46,"No photography",2017,8,August,3
20046,47,"No photography",2017,6,June,5
20047,48,"No photography",2016,9,September,5
20048,49,"No photography",2017,8,August,5
20049,50,"No photography",2017,7,July,4
20050,51,"No photography",2017,8,August,2
20051,52,"No photography",2017,8,August,5
20052,53,"No photography",2018,6,June,5
20053,54,"No photography",2018,6,June,5
20054,55,"No photography",2018,6,June,4
20055,56,"No photography",2018,6,June,5
20056,57,"No photography",2018,6,June,5
20057,58,"No photography",2018,5,May,4
20058,59,"No photography",2018,4,April,4
20059,60,"No photography",2018,4,April,5
20060,61,"No photography",2022,5,May,5
20061,62,"No photography",2022,3,March,4
20062,63,"No photography",2020,10,October,5
20063,64,"No photography",2019,10,October,5
20064,65,"No photography",2019,10,October,5
20065,66,"No photography",2019,10,October,5
20066,67,"No photography",2019,10,October,3
20067,68,"No photography",2019,7,July,5
20068,69,"No photography",2019,7,July,5
20069,70,"No photography",2017,6,June,4
20070,71,"No photography",2017,6,June,5
20071,72,"No photography",2017,6,June,3
20072,73,"No photography",2017,6,June,4
20073,74,"No photography",2017,5,May,3
20074,75,"No photography",2017,5,May,4
20075,76,"No photography",2017,4,April,5
20076,77,"No photography",2017,4,April,5
20077,78,"No photography",2016,8,August,4
20078,79,"No photography",2017,4,April,5
20079,80,"No photography",2017,8,August,5
20080,81,"No photography",2017,8,August,5
20081,82,"No photography",2017,8,August,5
20082,83,"No photography",2017,6,June,4
20083,84,"No photography",2017,7,July,2
20084,85,"No photography",2017,7,July,5
20085,86,"No photography",2017,7,July,5
20086,87,"No photography",2017,7,July,4
20087,88,"No photography",2017,7,July,5
20088,89,"No photography",2017,6,June,5
20089,90,"No photography",2017,1,January,5
20090,91,"No photography",2017,2,February,4
20091,92,"No photography",2017,2,February,3
20092,93,"No photography",2017,1,January,5
20093,94,"No photography",2016,8,August,5
20094,95,"No photography",2017,1,January,1
20095,96,"No photography",2016,11,November,5
20096,97,"No photography",2016,12,December,5
20097,98,"No photography",2016,12,December,5
20098,99,"No photography",2016,8,August,5
20099,100,"No photography",2016,11,November,5
30100,101,"No photography",2016,11,November,3
30101,102,"No photography",2016,10,October,5
30102,103,"No photography",2016,10,October,3
30103,104,"No photography",2016,9,September,3
30104,105,"No photography",2016,8,August,3
30105,106,"No photography",2015,8,August,3
30106,107,"No photography",2015,8,August,4
30107,108,"No photography",2015,8,August,4
30108,109,"No photography",2015,8,August,5
30109,110,"No photography",2015,7,July,2
30110,111,"No photography",2015,7,July,5
30111,112,"No photography",2015,7,July,5
30112,113,"No photography",2015,6,June,5
30113,114,"No photography",2015,7,July,5
30114,115,"No photography",2014,10,October,3
30115,116,"No photography",2015,6,June,1
30116,117,"No photography",2015,4,April,5
30117,118,"No photography",2015,3,March,4
30118,119,"No photography",2014,2,February,4
30119,120,"No photography",2013,7,July,1
30120,121,"No photography",2013,8,August,4
30121,122,"No photography",2013,7,July,5
30122,123,"No photography",2013,8,August,5
30123,124,"No photography",2013,8,August,5
30124,125,"No photography",2013,7,July,4
30125,126,"No photography",2013,7,July,2
30126,127,"No photography",2012,8,August,4
30127,128,"No photography",2013,5,May,5
