InputID,Traveller_ID,activity,Traveller_Country,City,location_Type,Travel_Year,Travel_month,month,rating,sentiment_comments
10006,6,Beach_Water_Sports,"United Arab Emirates","Arugam Bay",Beaches,2019,6,June,5,positive
10006,6,wildlife_nature,"United Arab Emirates","Arugam Bay",Beaches,2019,6,June,5,positive
10006,6,Relaxing,"United Arab Emirates","Arugam Bay",Beaches,2019,6,June,5,positive
30202,201,Beach_Water_Sports,"United Kingdom",Bentota,Beaches,2019,11,November,4,positive
30202,201,Relaxing,"United Kingdom",Bentota,Beaches,2019,11,November,4,positive
30510,502,Beach_Water_Sports,"United Kingdom",Hikkaduwa,Beaches,2019,2,February,3,positive
30510,502,Hiking_climbing,"United Kingdom",Hikkaduwa,Beaches,2019,2,February,3,positive
30519,511,Beach_Water_Sports,Australia,Hikkaduwa,Beaches,2018,10,October,5,positive
30522,513,Beach_Water_Sports,"United Kingdom",Hikkaduwa,Beaches,2018,10,October,1,positive
30522,513,wildlife_nature,"United Kingdom",Hikkaduwa,Beaches,2018,10,October,1,positive
30522,513,Hiking_climbing,"United Kingdom",Hikkaduwa,Beaches,2018,10,October,1,positive
30522,513,Relaxing,"United Kingdom",Hikkaduwa,Beaches,2018,10,October,1,positive
30583,573,Beach_Water_Sports,Turkey,Hikkaduwa,Beaches,2018,12,December,1,positive
30583,573,wildlife_nature,Turkey,Hikkaduwa,Beaches,2018,12,December,1,positive
30735,719,Beach_Water_Sports,"United Kingdom",Unawatuna,Beaches,2019,1,January,3,positive
30751,734,Beach_Water_Sports,Australia,Unawatuna,Beaches,2019,10,October,5,positive
30751,734,wildlife_nature,Australia,Unawatuna,Beaches,2019,10,October,5,positive
30805,785,Beach_Water_Sports,Australia,Unawatuna,Beaches,2019,9,September,1,negative
30805,785,wildlife_nature,Australia,Unawatuna,Beaches,2019,9,September,1,negative
30823,801,Beach_Water_Sports,Spain,Kalutara,Beaches,2020,2,February,4,positive
30823,801,wildlife_nature,Spain,Kalutara,Beaches,2020,2,February,4,positive
30838,815,Beach_Water_Sports,"United Kingdom",Kalutara,Beaches,2019,3,March,2,positive
30838,815,Relaxing,"United Kingdom",Kalutara,Beaches,2019,3,March,2,positive
30899,875,Beach_Water_Sports,"United Kingdom",Kalutara,Beaches,2017,5,May,4,positive
